,Day,Time,Meeting_Name,Location,Address,Region,Types
1,Monday,5:30 am,CAME TO BELIEVE," 8728 CORBIN AVE NORTHRIDGE, CA 91324",8728 Corbin Ave,NORTHRIDGE,"Discussion, Open"
2,Monday,6:00 am,THE EARLY SHOW," 1424 FREMONT AVE SOUTH PASADENA, CA 91030",1424 Fremont Ave,SOUTH PASADENA,"Discussion, LGBTQ, Newcomer, Open, Wheelchair Access, Young People"
3,Monday,6:00 am,SUNRISE," 4011 DUNSMORE AVE LA CRESCENTA, CA 91214",4011 Dunsmore Ave,LA CRESCENTA,"Big Book, Discussion, Open"
4,Monday,6:15 am,ATTITUDE ADJUSTMENT," 140 E PALM MONROVIA, CA 91016",140 E Palm Ave,MONROVIA,"Discussion, Open, Wheelchair Access"
5,Monday,6:15 am,EARLY RISERS," 15911 E MAIN ST LA PUENTE, CA 91744",15911 Main St,LA PUENTE,Open
6,Monday,6:15 am,ATTITUDE ADJUSTMENT," 185 W ALTADENA DR ALTADENA, CA 91001",185 W Altadena Dr,ALTADENA,"Discussion, Open, Wheelchair Access"
7,Monday,6:15 am,ATTITUDE ADJUSTMENT," 2518 W BEVERLY BLVD MONTEBELLO, CA 90640",2518 W Beverly Blvd,MONTEBELLO,"Open, Wheelchair Access"
8,Monday,6:15 am,A M ATTITUDE ADJUSTMENT," 510 S 2ND AVE COVINA, CA 91723",510 S 2nd Ave,COVINA,"Open, Wheelchair Access"
9,Monday,6:15 am,SUNRISE MEETING," 585 E COLORADO BLVD PASADENA, CA 91101",585 E Colorado Blvd,PASADENA,"Discussion, Open, Wheelchair Access"
10,Monday,6:15 am,JUST FOR TODAY," 631 N EUCLID ST LA HABRA, CA 90631",631 N Euclid St,LA HABRA,Closed
11,Monday,6:30 am,EARLY START," 12336 PENN ST WHITTIER, CA 90602",12336 Penn St,WHITTIER,Closed
12,Monday,6:30 am,ATTITUDE ADJUSTMENT," 1424 FREMONT AVE SOUTH PASADENA, CA 91030",1424 Fremont Ave,SOUTH PASADENA,"Discussion, Open, Wheelchair Access"
13,Monday,6:30 am,ATTITUDE ADJUSTMENT," 524 E PASADENA ST POMONA, CA 91767",524 E Pasadena St,POMONA,Open
14,Monday,6:30 am,EARLY ATTITUDE ADJUSTMENT," 5881 CHERRY AVE LONG BEACH, CA 90805",5881 Cherry Ave,LONG BEACH,Open
